gbstring@exacuk,Time,Celsius(°C),Humidity(%rh),Dew Point(°C),Serial Number,,,,,,,,,,,,,,,,,,,,
72,25/04/2017 22:00,20.5,52.5,10.5,,,,,,,,,,,,,,,,,,,,,
73,25/04/2017 23:00,20,53.5,10.3,,,,,,,,,,,,,,,,,,,,,
74,26/04/2017 00:00,20,54,10.4,,,,,,,,,,,,,,,,,,,,,
75,26/04/2017 01:00,19.5,54.5,10.1,,,,,,,,,,,,,,,,,,,,,
76,26/04/2017 02:00,19,54.5,9.6,,,,,,,,,,,,,,,,,,,,,
77,26/04/2017 03:00,19,54,9.5,,,,,,,,,,,,,,,,,,,,,
78,26/04/2017 04:00,18.5,54,9,,,,,,,,,,,,,,,,,,,,,
79,26/04/2017 05:00,18.5,54.5,9.2,,,,,,,,,,,,,,,,,,,,,
80,26/04/2017 06:00,18.5,54.5,9.2,,,,,,,,,,,,,,,,,,,,,
81,26/04/2017 07:00,18.5,55.5,9.4,,,,,,,,,,,,,,,,,,,,,
82,26/04/2017 08:00,14.5,55.5,5.7,,,,,,,,,,,,,,,,,,,,,
83,26/04/2017 09:00,19,50.5,8.5,,,,,,,,,,,,,,,,,,,,,
84,26/04/2017 10:00,22,46,9.9,,,,,,,,,,,,,,,,,,,,,
85,26/04/2017 11:00,22,44,9.2,,,,,,,,,,,,,,,,,,,,,
86,26/04/2017 12:00,24.5,44,11.5,,,,,,,,,,,,,,,,,,,,,
87,26/04/2017 13:00,23,42,9.4,,,,,,,,,,,,,,,,,,,,,
88,26/04/2017 14:00,23,37.5,7.7,,,,,,,,,,,,,,,,,,,,,
89,26/04/2017 15:00,22,34.5,5.6,,,,,,,,,,,,,,,,,,,,,
90,26/04/2017 16:00,23,33,5.9,,,,,,,,,,,,,,,,,,,,,
91,26/04/2017 17:00,22.5,32,5,,,,,,,,,,,,,,,,,,,,,
92,26/04/2017 18:00,20.5,37.5,5.5,,,,,,,,,,,,,,,,,,,,,
93,26/04/2017 19:00,22.5,38.5,7.7,,,,,,,,,,,,,,,,,,,,,
94,26/04/2017 20:00,22,39,7.4,,,,,,,,,,,,,,,,,,,,,
95,26/04/2017 21:00,21.5,39.5,7.2,,,,,,,,,,,,,,,,,,,,,
96,26/04/2017 22:00,20.5,40,6.4,,,,,,,,,,,,,,,,,,,,,
97,26/04/2017 23:00,20.5,40.5,6.6,,,,,,,,,,,,,,,,,,,,,
98,27/04/2017 00:00,20,40.5,6.2,,,,,,,,,,,,,,,,,,,,,
99,27/04/2017 01:00,19.5,40.5,5.7,,,,,,,,,,,,,,,,,,,,,
100,27/04/2017 02:00,19.5,41,5.9,,,,,,,,,,,,,,,,,,,,,
